一级模块,二级模块,三级功能点,功能说明,优先级,备注
一、设备管理模块,单灯控制器管理,设备注册与接入,支持NB-IoT、LoRa、4G、5G等多种通信方式的单灯控制器接入注册,高,主流厂商：顺舟智能、三仟智慧、方大智控
一、设备管理模块,单灯控制器管理,设备状态监控,实时监控控制器在线/离线状态、电流、电压、功率、功率因素,高,
一、设备管理模块,单灯控制器管理,远程开关控制,远程单个、分组、区域开关灯控制,高,
一、设备管理模块,单灯控制器管理,调光控制,0-10V/PWM调光，支持0-100%无级调光,高,
一、设备管理模块,单灯控制器管理,电能计量,精确计量单灯耗电量、电压电流异常告警,高,
一、设备管理模块,单灯控制器管理,温度监测,监测控制器内部温度，过热告警,中,
一、设备管理模块,单灯控制器管理,故障主动上报,灯具故障、控制器故障自动上报平台,高,
一、设备管理模块,单灯控制器管理,定时任务设置,支持按周、按日设置多时段开关灯和调光策略,高,
一、设备管理模块,单灯控制器管理,经纬度自适应,根据地理位置自动计算日出日落时间调整开关灯,中,
一、设备管理模块,集中控制器管理,网关管理,集中控制器（网关）状态监控、远程配置、远程重启,高,
一、设备管理模块,集中控制器管理,通信状态监控,GSM/4G/5G信号强度、网络质量监控,高,
一、设备管理模块,集中控制器管理,本地策略执行,断网情况下本地自动执行预设开关灯策略,中,
一、设备管理模块,集中控制器管理,边缘计算,支持边缘节点数据预处理、智能分析,中,华为、海康威视支持
一、设备管理模块,灯具管理,灯具档案管理,灯具型号、功率、光源类型、安装日期、质保期等信息管理,高,
一、设备管理模块,灯具管理,灯具生命周期管理,从安装、运行到报废全生命周期追踪,中,
一、设备管理模块,灯具管理,光衰监测,通过亮度传感器或历史数据分析灯具光衰程度,中,
一、设备管理模块,配电柜管理,配电柜监控,配电柜总电压、总电流、总功率、电能计量、漏电监测,高,
一、设备管理模块,配电柜管理,回路控制,配电柜各回路独立开关控制、状态监测,高,
一、设备管理模块,配电柜管理,用电安全,过压、欠压、过流、漏电、防雷器故障告警,高,
一、设备管理模块,传感器管理,亮度传感器,环境亮度实时监测、自动调光触发,高,
一、设备管理模块,传感器管理,温湿度传感器,环境温湿度数据采集、异常告警,中,
一、设备管理模块,传感器管理,积水传感器,低洼路段积水监测告警,中,防汛场景
一、设备管理模块,传感器管理,人流车流传感器,人流量、车流量统计，自适应调光,中,
二、运维管理模块,故障告警管理,实时告警推送,故障发生后即时通过短信、APP、微信推送通知,高,
一、设备管理模块,传感器管理,空气质量传感器,PM2.5、PM10、温湿度、气压等环境数据采集,中,部分平台支持
二、运维管理模块,故障告警管理,故障分级处理,按故障严重程度分级（紧急、重要、一般）,高,
二、运维管理模块,故障告警管理,告警类型分类,灯具故障、控制器故障、通信故障、电源故障、传感器故障等,高,
二、运维管理模块,故障告警管理,告警历史记录,所有告警信息永久保存、可追溯查询,高,
二、运维管理模块,故障告警管理,告警抑制,避免重复告警、误告警智能过滤,中,
二、运维管理模块,工单管理,自动工单生成,故障发生后自动生成维修工单,高,
二、运维管理模块,工单管理,工单派发,根据维修人员位置、技能自动派单,高,
二、运维管理模块,工单管理,工单状态追踪,接单、到场、维修、验收、完成全流程追踪,高,
二、运维管理模块,工单管理,维修知识库,常见故障解决方案、维修经验库,中,
二、运维管理模块,工单管理,维修人员评价,维修质量、响应时间评价统计,中,
二、运维管理模块,巡检管理,巡检计划制定,制定日、周、月巡检计划和路线,高,
二、运维管理模块,巡检管理,巡检打卡,APP扫码打卡、GPS定位签到,高,
二、运维管理模块,巡检管理,巡检记录,现场拍照、问题记录、异常上报,高,
二、运维管理模块,巡检管理,巡检任务完成率统计,巡检完成情况统计分析,中,
二、运维管理模块,资产管理,设备资产台账,所有设备资产统一管理、编号、定位,高,
二、运维管理模块,资产管理,资产盘点,支持扫码盘点、批量盘点,中,
二、运维管理模块,资产管理,资产折旧,设备折旧计算、资产价值评估,低,
二、运维管理模块,备品备件管理,备件库存管理,备品备件入库、出库、库存预警,中,
二、运维管理模块,备品备件管理,备件领用记录,维修人员备件领用登记、追溯,低,
二、运维管理模块,车辆管理,运维车辆调度,维修车辆位置监控、调度,中,大型项目
二、运维管理模块,人员管理,维修人员档案,人员信息、技能等级、负责区域管理,高,
二、运维管理模块,人员管理,人员定位,外勤人员实时位置、行动轨迹追踪,高,
二、运维管理模块,人员管理,绩效考核,工单完成率、响应时间、维修质量等KPI统计,中,
三、策略管理模块,照明策略管理,定时策略,固定时间开关灯、调光,高,
三、策略管理模块,照明策略管理,经纬度策略,根据日出日落自动调整开关灯时间,高,
三、策略管理模块,照明策略管理,光感策略,根据环境亮度自动开关灯、调光,高,
三、策略管理模块,照明策略管理,分区分组策略,按行政区域、道路类型分组设置策略,高,
三、策略管理模块,照明策略管理,节假日策略,节假日专用照明方案,中,
三、策略管理模块,照明策略管理,重大活动保障模式,重要活动期间特殊照明保障,中,
三、策略管理模块,照明策略管理,节能模式,深夜降功率、隔点亮等节能模式,高,
三、策略管理模块,照明策略管理,应急照明策略,突发事件全功率照明、警示模式,高,
三、策略管理模块,照明策略管理,策略模拟预览,策略执行效果模拟预览,中,
三、策略管理模块,策略下发与执行,批量下发,策略批量下发到指定设备组,高,
三、策略管理模块,策略下发与执行,下发状态追踪,策略下发成功/失败状态追踪,高,
三、策略管理模块,策略下发与执行,执行结果反馈,策略实际执行结果数据反馈,中,
三、策略管理模块,策略下发与执行,冲突检测,多策略冲突自动检测和提示,中,
四、能耗管理模块,能耗数据采集,实时能耗数据,实时采集单灯、回路、区域能耗数据,高,
四、能耗管理模块,能耗数据采集,小时/日/月统计,按时、日、月、年汇总能耗数据,高,
四、能耗管理模块,能耗数据分析,能耗同比环比,能耗同比、环比增长分析,高,
四、能耗管理模块,能耗数据分析,能耗排名,按区域、道路、灯具类型能耗排名,高,
四、能耗管理模块,能耗数据分析,能耗趋势预测,基于历史数据预测未来能耗,中,
四、能耗管理模块,能耗数据分析,异常能耗检测,能耗异常突增突减检测告警,高,
四、运维管理模块,运维大屏,GIS地图展示,在地图上直观展示所有路灯位置和状态,高,
四、能耗管理模块,节能效果分析,节能率计算,对比改造前后节能率计算,高,
四、能耗管理模块,节能效果分析,节能效益统计,节省电费、减少碳排放统计,高,
四、能耗管理模块,节能效果分析,节能报表,日、月、季度、年度节能报表,高,
四、能耗管理模块,能耗报表,自定义报表,支持用户自定义能耗统计报表,中,
四、能耗管理模块,能耗报表,报表导出,支持Excel、PDF格式导出,高,
四、能耗管理模块,能耗报表,报表自动发送,定时自动发送报表到指定邮箱,中,
五、GIS地图模块,地图展示功能,二维/三维地图,支持二维GIS和三维实景地图展示,高,主流：高德、百度、超图
五、GIS地图模块,地图展示功能,设备图层管理,路灯、配电箱、网关分层展示,高,
五、GIS地图模块,地图展示功能,设备状态图标,不同状态不同颜色图标（正常/故障/离线）,高,
五、GIS地图模块,地图展示功能,区域边界显示,行政区域、管理区域边界显示,高,
五、GIS地图模块,地图操作功能,地图缩放平移,地图缩放、平移、旋转操作,高,
五、GIS地图模块,地图操作功能,设备搜索定位,按设备编号、地址快速搜索定位,高,
五、GIS地图模块,地图操作功能,框选操作,地图框选批量操作,高,
五、GIS地图模块,地图操作功能,图层控制,自定义显示/隐藏不同图层,中,
五、GIS地图模块,空间分析功能,周边查询,查询指定设备周边其他设备,中,
五、GIS地图模块,空间分析功能,路径规划,维修人员最优路径规划,中,
五、GIS地图模块,空间分析功能,覆盖范围分析,路灯照明覆盖范围分析,低,
